MODELO;ID_CLIENTE;MODELOS;MARCA
KORANDO XDI 2.0 AT;534;KORANDO;SSANGYONG
KORANDO XDI 4X4 2.0;416;KORANDO;SSANGYONG
KYRON;403;KYRON;SSANGYONG
LAND CRUISER PRADO 4X4 4.0 AUT;403;LAND CRUISER ;TOYOTA
ML 250 BLUE TEC;372;ML 250 BLUE TEC;MERCEDES BENZ
ML 350;816;ML 350;MERCEDES BENZ
ML350 BLUE TEC;419;ML 350;MERCEDES BENZ
MONTERO;2703;MONTERO;KIA
MONTERO SPORT;809;MONTERO;KIA
MONTERO SPORT 2.5;423;MONTERO;KIA
MONTERO SPORT 3.0;452;MONTERO;KIA
MONTERO SPORT G2 2.5;2195;MONTERO;KIA
MONTERO SPORT G2 2.5 AT;442;MONTERO;KIA
MONTERO SPORT G2 2.5 AUT;560;MONTERO;KIA
MURANO;483;MURANO;NISSAN
NEW CARENS LX 2.0;579;CARENS;KIA
NEW CR V EXL 4X4 2.4;387;CR V;HONDA
NEW CR V EXL 4X4 2.4 AUT;588;CR V;HONDA
NEW CR V LX 2.4 AUT;441;CR V;HONDA
NEW CX 5 GT 4X4 2.0 AUT;448;CX 5;MAZDA
NEW CX 5 R 2.0;864;CX 5;MAZDA
NEW CX 5 R 2.0 AUT;1637;CX 5;MAZDA
NEW ECOSPORT XLT PLUS 1.6;850;ECOSPORT;FORD
NEW GRAND CHEROKEE L;601;GRAND CHEROKEE;JEEP
NEW H1 GLS 2.5;487;NEW H1 GLS 2.5;HYUNDAI
NEW HAVAL H3 LE 2.0;718;NEW HAVAL H3 LE 2.0;HAVAL
NEW KYRON 2.0;386;KYRON;SSANGYONG
NEW RAV4 2.0;1313;RAV 4;TOYOTA
NEW RAV4 2.4;433;RAV 4;TOYOTA
NEW SCORPIO 2.2;371;SCORPIO;MAHINDRA
NEW SCORPIO GLX 2.2;809;SCORPIO;MAHINDRA
NEW TERIOS 1.5;715;TERIOS;DAIHATSU
NEW TUCSON 2.0;884;NEW TUCSON ;HYUNDAI
